protocol,network,file,flightend_proxy_ms,confirmed_ms,delta_confirm_ms,client_finished_ms,note
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_x448_mlkem768_simple_loss1.5833_delay83.52ms_20260826_142358.pcap,255.28000000000017,422.88800000000015,167.60799999999998,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_x25519_simple_loss1.5833_delay83.52ms_20260826_142032.pcap,252.4550000000001,420.39000000000004,167.93499999999995,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp384r1_P-384_simple_loss1.5833_delay83.52ms_20260826_141531.pcap,87.0439999999999,258.51999999999987,171.47599999999997,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa87_mlkem1024_simple_loss1.5833_delay83.52ms_20260826_142625.pcap,252.69699999999995,420.759,168.06200000000004,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa87_P-521_simple_loss1.5833_delay83.52ms_20260826_142542.pcap,254.51999999999998,422.632,168.11200000000005,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_ed25519_x25519_simple_loss1.5833_delay83.52ms_20260826_141257.pcap,84.74000000000004,253.08399999999997,168.34399999999994,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp384r1_x448_simple_loss1.5833_delay83.52ms_20260826_141552.pcap,86.58300000000008,257.15599999999995,170.57299999999987,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa87_p521_hqc256_simple_loss1.5833_delay83.52ms_20260826_142707.pcap,948.4690000000002,1116.613,168.14399999999983,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_x448_simple_loss1.5833_delay83.52ms_20260826_142318.pcap,253.27500000000015,421.303,168.02799999999985,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp521r1_p521_hqc256_simple_loss1.5833_delay83.52ms_20260826_141951.pcap,739.7969999999999,945.571,205.77400000000011,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp384r1_hqc192_simple_loss1.5833_delay83.52ms_20260826_141718.pcap,1618.305,1788.1469999999997,169.84199999999962,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp521r1_hqc256_simple_loss1.5833_delay83.52ms_20260826_141929.pcap,742.5740000000001,945.754,203.17999999999992,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_x448_hqc192_simple_loss1.5833_delay83.52ms_20260826_142521.pcap,296.73199999999997,464.267,167.535,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp521r1_P-521_simple_loss1.5833_delay83.52ms_20260826_141824.pcap,86.9120000000001,258.56499999999994,171.65299999999982,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_hqc128_simple_loss1.5833_delay83.52ms_20260826_142156.pcap,265.056,432.67300000000006,167.61700000000013,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_ed25519_mlkem512_simple_loss1.5833_delay83.52ms_20260826_141401.pcap,85.14200000000005,253.58400000000015,168.4420000000001,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_P-256_simple_loss1.5833_delay83.52ms_20260826_142012.pcap,252.62800000000007,420.625,167.99699999999996,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_hqc192_simple_loss1.5833_delay83.52ms_20260826_142440.pcap,482.548,650.239,167.69100000000003,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_mlkem512_simple_loss1.5833_delay83.52ms_20260826_142134.pcap,2247.291,2282.738,35.44699999999956,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_p384_hqc192_simple_loss1.5833_delay83.52ms_20260826_142500.pcap,302.97299999999996,470.50199999999995,167.52900000000005,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_p256_hqc128_simple_loss1.5833_delay83.52ms_20260826_142216.pcap,271.16499999999985,438.7939999999999,167.62900000000002,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa44_x25519_hqc128_simple_loss1.5833_delay83.52ms_20260826_142237.pcap,266.2920000000001,433.847,167.5549999999999,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_P-384_simple_loss1.5833_delay83.52ms_20260826_142257.pcap,254.29900000000006,422.3330000000001,168.03400000000002,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_secp384r1_x448_hqc192_simple_loss1.5833_delay83.52ms_20260826_141803.pcap,114.61499999999991,312.73399999999987,198.11899999999994,,
quic,simple_loss1.5833_delay83.52ms,capture_quic_single_mldsa65_mlkem768_simple_loss1.5833_delay83.52ms_20260826_142418.pcap,253.52699999999984,421.22099999999983,167.69400000000002,,
tls,none,capture_tls_single_mldsa65_mlkem768_none_20260826_131157.pcap,,,,2.0260000000000833,
tls,none,capture_tls_single_ed25519_x25519_mlkem512_none_20260826_130142.pcap,,,,2.5380000000000402,
tls,none,capture_tls_single_mldsa44_hqc128_none_20260826_130934.pcap,,,,17.131999999999927,
tls,none,capture_tls_single_mldsa44_p256_hqc128_none_20260826_130955.pcap,,,,24.244000000000156,
