protocol,auth_mode,network_profile,sig_alg,kem,kem_class,role,n_blocks_cpu,cpu_ms_per_handshake_mean,cpu_ms_ci95,cpu_ms_ci95_method,n_blocks_mem,mem_peak_MiB_mean,mem_MiB_ci95,mem_MiB_ci95_method
quic,single,simple_loss1.3_delay62.51ms,mldsa65,hqc192,pq_pur,client,4,64.805,"[49.191, 80.419]",bootstrap_blocs,4,5.348,"[5.332, 5.359]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,hqc192,pq_pur,server,4,594.326,"[563.083, 620.877]",bootstrap_blocs,4,10.082,"[9.924, 10.240]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,mlkem768,pq_pur,client,4,32.283,"[23.620, 40.946]",bootstrap_blocs,4,5.346,"[5.117, 5.574]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,mlkem768,pq_pur,server,4,541.331,"[517.407, 568.933]",bootstrap_blocs,4,9.706,"[9.576, 9.836]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,p384_hqc192,hybride,client,4,69.189,"[56.555, 81.824]",bootstrap_blocs,4,5.848,"[5.752, 5.961]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,p384_hqc192,hybride,server,4,604.441,"[574.413, 629.351]",bootstrap_blocs,4,11.118,"[10.981, 11.199]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,p384_mlkem768,hybride,client,4,39.141,"[31.406, 46.876]",bootstrap_blocs,4,5.814,"[5.750, 5.879]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,p384_mlkem768,hybride,server,4,531.56,"[512.760, 554.321]",bootstrap_blocs,4,10.452,"[10.297, 10.607]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,x448,classique,client,4,33.549,"[23.772, 43.327]",bootstrap_blocs,4,5.416,"[5.311, 5.521]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,x448,classique,server,4,522.044,"[482.592, 565.924]",bootstrap_blocs,4,9.32,"[9.014, 9.512]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,x448_hqc192,hybride,client,4,67.04,"[51.867, 82.213]",bootstrap_blocs,4,5.528,"[5.397, 5.645]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,x448_hqc192,hybride,server,4,597.628,"[559.358, 634.972]",bootstrap_blocs,4,10.376,"[10.290, 10.459]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,mldsa65,x448_mlkem768,hybride,client,4,32.736,"[25.376, 40.096]",bootstrap_blocs,4,5.477,"[5.378, 5.559]",bootstrap_blocs
