procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
23  4      0 10432480 301292 7286252    0    0     0  1436 12125 22292 64 20  1 14  0  0
14 19      0 10424688 301300 7286268    0    0     0   452 13019 20534 75 24  0  1  0  0
19  5      0 10411972 301304 7285976    0    0     0  1208 12958 19994 75 24  0  0  0  0
15  3      0 10445388 301308 7282164    0    0     0   984 15021 25272 75 25  0  0  0  0
17  2      0 10450652 301324 7282264    0    0     0  1132 13677 21749 76 24  0  0  0  0
32  2      0 10467696 301336 7282204    0    0     0  1556 14278 22763 75 24  0  0  0  0
15  2      0 10425884 301344 7282216    0    0     0   924 17365 33794 78 22  1  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  1      0 10414732 301356 7282224    0    0     0  1308 15796 29031 76 24  0  0  0  0
29  4      0 10416644 301360 7286328    0    0     0  1196 13120 19895 75 25  0  0  0  0
24  1      0 10439464 301364 7286464    0    0     0   568 17095 32033 74 26  0  0  0  0
12  2      0 10438520 301368 7286508    0    0     0  1724 13513 21183 75 25  0  0  0  0
27  1      0 10427648 301368 7282364    0    0     0   580 16421 29039 76 23  0  0  0  0
23  1      0 10419972 301376 7286468    0    0     0  1760 19007 27113 75 25  0  0  0  0
15  1      0 10418912 301380 7286588    0    0     0   448 16111 29444 74 25  1  0  0  0
14  2      0 10387968 301384 7286644    0    0     0   104 16910 27278 73 27  0  0  0  0
14 14      0 10388268 301400 7282504    0    0     0  2348 15623 23790 73 26  0  0  0  0
14  2      0 10411592 301400 7282440    0    0     0   308 12947 20282 76 23  0  0  0  0
14  2      0 10421664 301416 7282432    0    0     0  1624 13848 21325 75 25  1  0  0  0
10  1      0 10404164 301424 7282412    0    0     0   276 12611 18741 76 23  1  0  0  0
12  0      0 10389108 301436 7282412    0    0     0   156 15233 27248 75 24  1  0  0  0
16  0      0 10404464 301436 7282424    0    0     0     0 12619 18322 76 23  1  0  0  0
15  1      0 10422648 301436 7282384    0    0     0   124 13679 20906 75 24  1  0  0  0
14  1      0 10431528 301460 7282392    0    0     0  2212 15614 26827 74 24  2  0  0  0
15  0      0 10437972 301460 7282404    0    0     0     0 16109 28440 76 22  1  0  0  0
10  0      0 10439204 301464 7282420    0    0     0   128 14000 24666 68 20  5  6  0  0
15  0      0 10435984 301464 7282424    0    0     0     0 15674 28691 75 23  2  0  0  0
11  2      0 10451716 301472 7282352    0    0     0  1884 13687 21097 74 24  2  0  0  0
16  0      0 10444784 301476 7282380    0    0     0   360 13202 20711 73 23  4  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 10453720 301476 7282400    0    0     0     0 19054 35065 76 22  2  0  0  0
12  2      0 10460416 301500 7282324    0    0     0  1740 14264 25976 69 24  6  2  0  0
 7  0      0 10471708 301504 7282344    0    0     0   280 11710 19917 69 21  9  1  0  0
 7  0      0 10448180 301504 7282368    0    0     0     0 14496 28685 69 21 10  0  0  0
 9  1      0 10447704 301508 7282320    0    0     0  1240 12351 20605 67 21 10  2  0  0
11  0      0 10463112 301524 7282284    0    0     0   908 12521 22918 65 20 13  3  0  0
 6  1      0 10457612 301524 7282236    0    0     0   304 16369 32110 64 18 15  3  0  0
 8  0      0 10452756 301532 7282228    0    0     0  1660 11126 20722 55 18 21  7  0  0
 5  0      0 10449216 301532 7282264    0    0     0     0 11113 22039 53 16 32  0  0  0
 4  1      0 10455080 301536 7282168    0    0     0  1648 11136 19240 45 16 34  5  0  0
