P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.04,2.76,3009.3,32.6,1004.38
2.14,2.45,4006.26,1002.39,1.82
2.84,2.46,8.84,3.5,2.06
2.35,2.75,8.71,1040.08,1.87
29.66,2001.27,38.28,3.43,1.75
29.88,2.23,2060.7,3.35,1.87
2.41,1103.32,8.68,3.36,1.78
92.43,2.23,8.77,4.21,2.22
4.09,2.92,13.59,3.36,30.67
2.67,2.75,9.99,4.32,2.66
2.42,30.24,10.81,3.62,2.31
112.97,2.86,9.22,4.22,2.33
2.08,2.36,1017.1,3.09,1004.1
2.29,2.72,1010.23,4.2,1.81
30.1,29.83,8.63,30.75,1.8
2.94,2000.72,13.75,3.17,2053.39
2.98,3075.14,8.57,2003.27,2.11
2.04,2.48,9.81,,1004.61
1.97,3.19,1047.08,,
