P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
5.43,1002.89,11.95,5.61,3017.52
5.43,4.8,11.97,8.03,3.15
1004.66,5.27,11.99,5.89,3.02
5.46,3.72,11.96,5.52,3.33
1005.3,4.53,11.93,5.58,3.23
5.21,3.96,12.05,8.04,3.04
7000.91,3.69,18.28,8.03,3.21
5.24,3.74,1039.82,5.66,3.07
5.22,3002.62,1013.07,8.02,4.29
7.34,3.79,11.9,3005.94,3.15
5.36,3.74,13.49,7.96,3.33
5.44,3.84,1019.06,1031.91,3.09
1004.54,3.73,11.89,1031.14,3.03
5.53,4.51,12.02,8.01,1004.54
7.73,1002.92,11.94,8.06,1003.0
7001.09,3.75,11.96,6.22,4.33
5.29,3.69,11.9,8.05,3.4
3003.31,3.72,11.9,5.69,3.7
5.1,3.74,12.22,5.61,1002.68
5.1,3.68,11.96,5.55,1003.33
7.22,3.74,1019.79,5.6,1002.68
5.29,3.78,11.91,1030.77,2.99
1006.82,1002.89,11.93,5.59,3.45
6.52,3.81,11.87,5.59,3.12
5.09,5.28,11.92,8.08,1003.11
5.63,1005.42,11.87,5.74,3.47
5.51,3.76,12.37,5.61,2.99
5.08,4.53,11.89,5.59,1003.57
5.21,3.83,11.89,5.59,3.44
5.46,4.09,1020.84,5.67,4.32
5.17,3003.28,12.08,5.62,3.06
5.38,3.77,1013.19,5.53,3.14
5.57,5.31,11.91,1034.25,4.23
1004.39,3.61,11.92,5.59,3.4
6.89,5.66,7006.48,8.04,3.13
7.51,4.37,11.9,5.6,3.05
6.53,4.1,11.88,5.64,3.57
5.14,3.72,11.92,5.92,3.12
6.38,3.84,11.91,5.82,3.09
1005.15,3002.09,12.26,5.65,1002.55
1006.4,3.74,12.04,1062.26,3.04
1004.42,3.76,18.27,8.02,3.33
3004.14,4.35,18.23,1031.79,3.43
,3.64,18.25,5.59,3.02
,3.78,11.93,5.63,1002.62
,3.71,1013.1,1031.86,1002.8
,,11.92,5.5,1002.27
