procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
21  2      0 15358284 256156 5678920    0    0     0  1904 13538 18824 89 11  0  0  0  0
16  1      0 15360800 256172 5678920    0    0     0   788 12588 15919 90 11  0  0  0  0
22  1      0 15360984 256184 5678956    0    0     0  1668 12473 15200 90 10  0  0  0  0
11  2      0 15399112 256196 5678508    0    0     0  1528 12772 16703 89 11  0  0  0  0
20  3      0 15418672 256196 5678472    0    0     0   952 13800 18767 88 12  0  0  0  0
10  4      0 15421720 256196 5678500    0    0     0  1968 13289 19184 88 11  0  0  0  0
13  6      0 15397132 256200 5678516    0    0     0  1292 11675 14097 90 10  0  0  0  0
16  2      0 15398068 256212 5678532    0    0     0   832 11111 13754 83  9  1  7  0  0
16  1      0 15383224 256220 5678560    0    0     0   920 12420 15542 90 10  0  0  0  0
13  1      0 15409140 256228 5678576    0    0     0  1548 10975 10984 90 10  0  0  0  0
17  5      0 15416756 256236 5678524    0    0     0  1772 14108 21081 89 11  0  0  0  0
21  3      0 15401760 256240 5678552    0    0     0   892 12355 15795 88 11  0  0  0  0
11  3      0 15420508 256248 5678504    0    0     0  1340 12012 13814 90 10  0  0  0  0
14 29      0 15395556 256252 5678524    0    0     0  2040 14079 19841 87 13  0  0  0  0
21  1      0 15422396 256264 5678560    0    0     0   880 13883 18219 88 10  0  2  0  0
25 21      0 15422068 256272 5678572    0    0     0  1812 11987 14003 90 10  0  0  0  0
11  5      0 15406128 256292 5678592    0    0     0  1000 11354 12114 90 10  0  0  0  0
19  2      0 15416816 256292 5678476    0    0     0   800 13358 17055 89 11  0  0  0  0
21 26      0 15431504 256296 5678488    0    0     0  1988 10643 11453 84  8  0  8  0  0
15  2      0 15442576 256300 5678476    0    0     0  1240 10957 11491 90 10  0  0  0  0
23  0      0 15428832 256312 5678516    0    0     0   588 12309 14152 90 10  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  1      0 15428956 256328 5676572    0    0     0  1684 13785 21033 87 13  0  0  0  0
12  1      0 15426712 256332 5676624    0    0     0   996 11634 13238 91  9  0  0  0  0
14  1      0 15435804 256356 5678700    0    0     0  1276 12982 16102 89 11  0  0  0  0
18  1      0 15378792 256360 5679116    0    0     0   516 19631 19393 88 12  0  0  0  0
14  1      0 15364192 256376 5679228    0    0     0  1900 14243 18727 89 11  0  0  0  0
22  0      0 15356712 256404 5679240    0    0     0  1452 12159 14729 89 10  0  0  0  0
22  1      0 15349592 256412 5679368    0    0     0   316 13090 16643 89 10  0  0  0  0
20  2      0 15380024 256428 5679404    0    0     0  2136 12629 16068 89 11  0  0  0  0
14  2      0 15390520 256436 5679408    0    0     0  1340 11465 11641 91  9  0  0  0  0
11  1      0 15362052 256448 5679448    0    0     0   408 13699 19046 89 11  0  0  0  0
23  1      0 15347932 256448 5679572    0    0     0   184 13811 18826 88 12  0  0  0  0
16  1      0 15358100 256464 5679588    0    0     0   504 12693 17148 90 10  0  0  0  0
