Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	04/06/2026 	_x86_64_	(8 CPU)

02:23:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:26:24     all   20,90    0,13    5,38    8,14    0,00    0,13    0,00    0,00    0,00   65,33
02:26:25     all   25,22    0,13    6,21   13,94    0,00    0,25    0,00    0,00    0,00   54,25
02:26:26     all   20,70    0,00    5,77   10,29    0,00    0,00    0,00    0,00    0,00   63,24
02:26:27     all   23,38    0,00    6,73    9,91    0,00    0,00    0,00    0,00    0,00   59,97
02:26:28     all   17,77    0,13    4,01   13,27    0,00    0,13    0,00    0,00    0,00   64,71
02:26:29     all   21,44    0,13    6,31    9,33    0,00    0,00    0,00    0,00    0,00   62,80
02:26:30     all   19,97    0,13    4,77   20,98    0,00    0,13    0,00    0,00    0,00   54,02
02:26:31     all   24,62    0,13    5,20   11,29    0,00    0,00    0,00    0,00    0,00   58,76
02:26:32     all   21,46    0,00    5,93    8,08    0,00    0,00    0,00    0,00    0,00   64,52
02:26:33     all   21,79    0,13    5,67   13,48    0,00    0,13    0,00    0,00    0,00   58,82
02:26:34     all   17,96    0,00    3,52   35,30    0,00    0,00    0,00    0,00    0,00   43,22
02:26:35     all   19,32    0,00    4,64   14,55    0,00    0,00    0,00    0,00    0,00   61,48
02:26:36     all   20,75    0,13    4,91   11,07    0,00    0,00    0,00    0,00    0,00   63,14
02:26:37     all   24,78    0,00    6,86   15,76    0,00    0,00    0,00    0,00    0,00   52,60
02:26:38     all   19,72    0,00    4,80   18,71    0,00    0,00    0,00    0,00    0,00   56,76
02:26:39     all   22,25    0,25    6,83    8,34    0,00    0,25    0,00    0,00    0,00   62,07
02:26:40     all   18,72    0,00    4,90   12,06    0,00    0,13    0,00    0,00    0,00   64,20
02:26:41     all   28,05    0,13    7,67    8,43    0,00    0,13    0,00    0,00    0,00   55,60
02:26:42     all   22,82    0,13    6,68   12,48    0,00    0,00    0,00    0,00    0,00   57,88
02:26:43     all   18,89    0,00    3,90   17,38    0,00    0,13    0,00    0,00    0,00   59,70
02:26:44     all   20,20    0,00    4,80   10,10    0,00    0,00    0,00    0,00    0,00   64,90
02:26:45     all   27,25    0,25    7,73    9,51    0,00    0,13    0,00    0,00    0,00   55,13
02:26:46     all   19,80    0,00    4,67   18,92    0,00    0,00    0,00    0,00    0,00   56,62
02:26:47     all   23,01    0,13    7,21    9,10    0,00    0,00    0,00    0,00    0,00   60,56
02:26:48     all   20,25    0,00    4,78   21,64    0,00    0,00    0,00    0,00    0,00   53,33
02:26:49     all   25,32    0,00    6,84    9,62    0,00    0,13    0,00    0,00    0,00   58,10
02:26:50     all   23,06    0,25    6,52    9,40    0,00    0,00    0,00    0,00    0,00   60,78
02:26:51     all   18,79    0,00    4,04   27,99    0,00    0,00    0,00    0,00    0,00   49,18
02:26:52     all   22,03    0,13    6,33   10,13    0,00    0,13    0,00    0,00    0,00   61,27
02:26:53     all   21,70    0,12    6,61   11,47    0,00    0,25    0,00    0,00    0,00   59,85
02:26:54     all   24,01    0,00    4,73   24,27    0,00    0,00    0,00    0,00    0,00   47,00
