procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 13082992 236392 5988260    0    0     0  1548 10249 16510 12 10 69  9  0  0
 0  1      0 13074492 236424 5988348    0    0     0   824 10714 21978 12  7 61 19  0  0
 0  1      0 13062084 236452 5988420    0    0     0  1180 7480 14259 10  8 70 11  0  0
 5  1      0 13053004 236472 5988756    0    0     0   692 12145 25893 15 11 67  8  0  0
 1  1      0 13061980 236480 5988808    0    0     0  1612 5862 4931  9  7 47 37  0  0
 1  1      0 13049668 236516 5988644    0    0     0  1204 10811 23433 14  9 67 10  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 13048028 236524 5989352    0    0     0   528 11385 24210 11  9 72  8  0  0
 1  1      0 13043588 236536 5977004    0    0     0  1652 7510 14463  9  8 63 20  0  0
 1  2      0 13042040 236564 5977044    0    0     0  1140 6042 6112  7  6 70 17  0  0
 2  1      0 13043356 236588 5977284    0    0     0   568 7823 10352 10  7 68 15  0  0
 0  8      0 13039024 236620 5977444    0    0     0  1944 12576 28388 13  9 66 12  0  0
16 28      0 13041872 236624 5977644    0    0     0   888 7298 13005  8  7 61 24  0  0
10  1      0 13041004 236640 5977896    0    0     0   776 8408 10106 12  9 69 11  0  0
 1  6      0 13049808 236676 5978140    0    0     0  2044 9197 20315 10  8 67 16  0  0
 0  1      0 13049796 236688 5978212    0    0     0   392 5228 4434  6  6 67 21  0  0
 0  1      0 13036752 236700 5978332    0    0     0   948 10053 21426 14  9 67 10  0  0
 1  1      0 13027396 236708 5982684    0    0     0   360 9353 18370 11  9 71  9  0  0
 0  4      0 13014860 236764 5982960    0    0     0  2236 10035 20181 11  9 64 16  0  0
 1  3      0 13005664 236788 5983036    0    0     0  1192 6579 6120  8  7 60 25  0  0
 1  1      0 13004684 236812 5983344    0    0     0   532 8404 10555 12  9 69 10  0  0
 2  7      0 13010160 236832 5983532    0    0     0  1924 9185 13011 12  9 57 21  0  0
 0  1      0 13008208 236848 5983596    0    0     0  1120 10037 22037 13  8 62 17  0  0
 0  1      0 13003008 236876 5983924    0    0     0   784 10165 20475 12 10 69  9  0  0
 0  1      0 13000764 236896 5984056    0    0     0  1652 9164 21262 10  8 71 12  0  0
 0  2      0 13007412 236900 5984096    0    0     0   376 5309 4699  6  5 77 12  0  0
 1  1      0 13009848 236912 5984168    0    0     0  1312 6494 5468  9  7 73 11  0  0
 0  1      0 13022588 236932 5984212    0    0     0   404 9787 21525 13  7 70 10  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 13004308 236940 5984644    0    0     0   500 9765 19057 11  9 71  9  0  0
 2 10      0 12999636 236960 5984752    0    0     0  2040 8653 16047  9  7 69 15  0  0
 1  4      0 12996756 236968 5980640    0    0     0   212 6968 10487  8  6 13 73  0  0
 0  1      0 13007016 237000 5980664    0    0     0   504 6533 5727  8  7 61 24  0  0
 1  1      0 13018036 237004 5980708    0    0     0  1272 6296 5559  8  7 72 13  0  0
 0  1      0 13012112 237008 5981048    0    0     0   300 11690 25053 15  9 68  9  0  0
 1  2      0 12990472 237016 5981136    0    0     0   520 9892 21089  9  8 72 10  0  0
 1 10      0 12985596 237032 5981296    0    0     0  2104 8326 15747 11  8 58 23  0  0
 0  1      0 12990480 237032 5981380    0    0     0   148 5627 4683  6  6 40 48  0  0
 0  1      0 12995400 237044 5981376    0    0     0  1088 5881 5622  8  7 74 11  0  0
 2  1      0 12997888 237060 5981432    0    0     0   516 8920 22094 13  6 71 11  0  0
 0  1      0 12970200 237076 5981768    0    0     0   424 9700 23014 10  8 74  9  0  0
 0 10      0 12959108 237092 5984156    0    0     0  2620 8255 16697 10  8 50 32  0  0
 2  2      0 12969060 237092 5984260    0    0     0  1720 5663 4949  6  5 48 41  0  0
 0  2      0 12971048 237100 5988724    0    0     0  4576 5498 4684  8  6 52 34  0  0
 1  1      0 12987036 237132 5981924    0    0     0  3692 11927 24155 15  9 56 20  0  0
 1  1      0 12984448 237152 5986396    0    0     0   760 8589 16382 10  8 73  9  0  0
 1  2      0 12968680 237164 5986504    0    0     0  1796 8858 14082 10  8 68 15  0  0
 3  1      0 12969912 237180 5986568    0    0     0  1280 8594 17224 10  8 71 11  0  0
 1  0      0 12970996 237204 5991072    0    0     0   628 9811 16147 14  8 69  9  0  0
 0  3      0 12949832 237216 5991140    0    0     0  1656 7061 9763  9  7 44 40  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 12962952 237240 5991148    0    0     0  1456 11921 26022 13  8 66 13  0  0
 1  1      0 12953412 237264 5995780    0    0     0   616 11137 21712 13 10 69  8  0  0
 1  2      0 12947104 237288 5995840    0    0     0  1724 10472 25687 14  8 53 25  0  0
 1  2      0 12947356 237300 5995908    0    0     0  1088 6955 6161  9  8 70 13  0  0
 1  1      0 12937900 237320 6000060    0    0     0   444 6326 5883  9  7 65 19  0  0
 5  0      0 12935600 237324 6000412    0    0     0   452 13458 30066 15 10 67  8  0  0
 1  2      0 12926872 237336 6000588    0    0     0  2016 9501 19312 11  8 65 16  0  0
 4  1      0 12936180 237340 6000664    0    0     0   228 7835 16454  9  7 70 15  0  0
 1  2      0 12936688 237348 6000704    0    0     0  1088 5788 5250  8  7 69 16  0  0
 0  1      0 12947192 237376 6000744    0    0     0   528 10617 23151 14  9 63 14  0  0
 3  1      0 12941656 237396 6001192    0    0     0  1880 11280 22550 13 10 69  8  0  0
 2  1      0 12940100 237412 6001312    0    0     0   892 6353 8528  8  7 51 35  0  0
 3  1      0 12941916 237444 6001324    0    0     0  1196 9056 18813 11  9 63 16  0  0
 1  1      0 12920816 237480 6001740    0    0     0  1736 10003 16552 11 10 70  9  0  0
 1  2      0 12913004 237504 6001768    0    0     0   952 11210 25674 14  7 44 35  0  0
 0  1      0 12913060 237532 6001916    0    0     0  1176 7613 16539 10  8 70 12  0  0
 2  2      0 12925072 237584 5994076    0    0     0  2012 12382 28523 14 11 66  9  0  0
 2  1      0 12914856 237600 5994088    0    0     0   552 5238 4496  6  5 57 32  0  0
 1  1      0 12909392 237624 5994428    0    0     0  1036 12767 27436 20 12 60  8  0  0
 0  1      0 12908652 237668 5986424    0    0     0  1812 10181 22779 10  8 71 11  0  0
 2  1      0 12917016 237684 5986496    0    0     0   848 7692 17452  8  7 55 31  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 12922876 237712 5986540    0    0     0  1168 7249 7231 11  9 69 11  0  0
14  1      0 12916116 237752 5986912    0    0     0  1732 12289 26394 15 10 66  9  0  0
 1  1      0 12902312 237756 5986952    0    0     0   860 7502 11260  9  7 54 30  0  0
 0  1      0 12881420 237800 5991168    0    0     0  1260 9514 18219 11 10 69 10  0  0
 8  1      0 12871876 237824 5991608    0    0     0   756 11544 27243 11 10 71  8  0  0
 0  1      0 12875728 237832 5991668    0    0     0  1568 5462 4347  7  7 55 31  0  0
 1  1      0 12885120 237860 5995856    0    0     0  1292 11081 24230 15 10 64 10  0  0
 1  1      0 12875152 237868 5996280    0    0     0   464 10421 21424 11  9 69 10  0  0
 1  9      0 12873368 237872 5996384    0    0     0  2056 10350 23966 10  8 59 22  0  0
 1  2      0 12878984 237876 5996456    0    0     0  1232 6362 6003  8  7 64 21  0  0
 4  0      0 12872364 237900 6000820    0    0     0   556 7772 10281 10  8 70 12  0  0
 2  4      0 12861924 237936 6000976    0    0     0  1992 13457 29279 17 10 55 17  0  0
 1  1      0 12859912 237952 6001068    0    0     0  1192 8055 16473  9  8 56 27  0  0
18  1      0 12854800 237972 6005292    0    0     0   412 7697 16412  8  7 74 10  0  0
 6  1      0 12857952 238000 6005624    0    0     0   848 10568 18429 11  9 72  9  0  0
 1  1      0 12859368 238012 6005724    0    0     0  1716 6012 5119  8  7 65 19  0  0
 3  1      0 12851036 238036 6005804    0    0     0  1184 11174 25662 15  9 65 11  0  0
 2  1      0 12832352 238044 6006252    0    0     0   776 11440 27407 11  8 72  9  0  0
 3  1      0 12817288 238056 6006380    0    0     0  1816 9065 19481 12  9 55 25  0  0
 0  2      0 12830520 238076 6006440    0    0     0  1508 7276 6548  9  7 66 17  0  0
 0  2      0 12815584 238088 6006680    0    0     0   840 8299 11038 10  8 68 14  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0 13      0 12824332 238104 6006852    0    0     0  2032 12679 28851 17  9 51 23  0  0
 0  1      0 12825496 238108 6007044    0    0     0   424 7473 16221  7  6 43 45  0  0
 0  1      0 12839156 238112 6006976    0    0     0  1008 8921 19453 10  8 72 10  0  0
 2  2      0 12829540 238128 6007360    0    0     0   528 8638 10830 11  9 70 10  0  0
 8  1      0 12826924 238152 5999084    0    0     0  1660 11487 23608 14  9 63 14  0  0
 5  1      0 12818124 238172 5999436    0    0     0  1468 9292 16194 11  7 64 17  0  0
 9  0      0 12819704 238188 5999548    0    0     0   708 10239 22299 12 10 69 10  0  0
 0  8      0 12818108 238216 5999816    0    0     0  1944 11352 26704 12 10 59 19  0  0
 1  2      0 12807028 238232 5999872    0    0     0  1312 6597 6240  9  7 64 20  0  0
 1  1      0 12787920 238260 6000236    0    0     0   524 13186 30403 17  9 60 13  0  0
 0  2      0 12788692 238296 5996080    0    0     0  2092 10737 23680 11  9 66 14  0  0
 0  2      0 12786988 238300 5996428    0    0     0  1096 9679 20818 11  8 66 15  0  0
 2  2      0 12794740 238328 5996744    0    0     0   800 8705 11611 11  9 68 12  0  0
 1 11      0 12786736 238364 5996936    0    0     0  2088 8309 12184 10  8 56 26  0  0
